4eb5ea748ea030b14c3d1789f9578133,Plarail - S-29 Steam Locomotive Type C61-20 w/Head Light (Model Train),Takara Tomy,12.87,37,5.0 out of 5 stars, Locomotives,Batteries sold separately: C x 1Rail is NOT included.,"Technical Details Item Weight249 g Product Dimensions41.5 x 7.5 x 4.5 cm Manufacturer recommended age:12 years and up Manufacturer reference150204 Batteries Required?Yes ?? Additional Information ASINB005WP3JWY Best Sellers Rank 368,120 in Toys & Games (See top 100) #247 in?Toys & Games > Model Trains & Railway Sets > Rail Vehicles > Locomotives Shipping Weight249 g Delivery Destinations:Visit the Delivery Destinations Help page to see where this item can be delivered. Date First Available31 Mar. 2012 ?? Feedback ?Would you like to update product info or give feedback on images?",Batteries sold separately: C x 1Rail is NOT included.
6c4062e5b0da136365915b470ec9d4a4,Plarail - AS-07 Shinkansen Series 700 (Model Train),Takara Tomy,14.44,35,5.0 out of 5 stars, Trains,Batteries sold separately: AAA x 1,"Technical Details Item Weight181 g Product Dimensions20.3 x 13.8 x 3.4 cm Manufacturer recommended age:12 years and up Manufacturer referenceAS-07 Batteries Required?Yes ?? Additional Information ASINB005WP3KWS Best Sellers Rank 215,043 in Toys & Games (See top 100) #352 in?Toys & Games > Model Trains & Railway Sets > Rail Vehicles > Trains Shipping Weight181 g Delivery Destinations:Visit the Delivery Destinations Help page to see where this item can be delivered. Date First Available26 April 2012 ?? Feedback ?Would you like to update product info or give feedback on images?",Batteries sold separately: AAA x 1
93a2c5173f17b896dc614ffbac0c2f2c,Hornby R3246TTS LNER 2-8-2 'Cock O' The North' P2 Class with TTS Sound,Hornby,139.95,3,5.0 out of 5 stars, Locomotives,Suitable for the following scale(s): OO Scale,"Technical Details Manufacturer recommended age:3 years and up Manufacturer referenceR3246TTS Scale1:76 Track Width/GaugeOO ?? Additional Information ASINB00O25CFDO Best Sellers Rank 67,365 in Toys & Games (See top 100) #38 in?Toys & Games > Model Trains & Railway Sets > Rail Vehicles > Locomotives Delivery Destinations:Visit the Delivery Destinations Help page to see where this item can be delivered. Date First Available30 Sept. 2014 ?? Feedback ?Would you like to update product info or give feedback on images?",Suitable for the following scale(s): OO Scale
efefa0150b69140f217da35f1f8a9e11,Faller 140322,Faller,25.5,4,4.0 out of 5 stars, Recreational Activities,Suitable for the following scale(s): HO ScaleEra IV,"Technical Details Item Weight340 g Product Dimensions27.4 x 18.2 x 5.2 cm Manufacturer recommended age:14 years and up Item model number140322 Number of Puzzle Pieces1 Assembly RequiredYes Scale1:87 Track Width/GaugeHO Batteries Included?No Remote Control Included?No ?? Additional Information ASINB0009NPPUS Best Sellers Rank 739,421 in Toys & Games (See top 100) #25 in?Toys & Games > Model Trains & Railway Sets > Accessories > Recreational Activities Shipping Weight340 g Delivery Destinations:Visit the Delivery Destinations Help page to see where this item can be delivered. Date First Available29 Sept. 2009 ?? Feedback ?Would you like to update product info or give feedback on images?",Suitable for the following scale(s): HO ScaleEra IV
e3284186ff6c2c43380001cc010338f0,Bachmann 32-882 Fairburn 2-6-4 Tank 42062 BR Lined Black Late Crest,Bachmann,99.95,2,4.5 out of 5 stars, Locomotives,Suitable for the following scale(s): OO ScaleDetails:DCC Type: 8 Pin DCC ReadyLivery: BR Black L/CrestClass: FairburnEra: 5 (1957 - 1966)Purpose: FreightWheel Configuration: 2-6-4Finish: Pristine,"Technical Details Manufacturer recommended age:14 years and up Manufacturer reference32-882 Scale1:76 Track Width/GaugeOO ?? Additional Information ASINB011RCEZ6O Best Sellers Rank 343,620 in Toys & Games (See top 100) #225 in?Toys & Games > Model Trains & Railway Sets > Rail Vehicles > Locomotives Delivery Destinations:Visit the Delivery Destinations Help page to see where this item can be delivered. Date First Available16 July 2015 ?? Feedback ?Would you like to update product info or give feedback on images?",Suitable for the following scale(s): OO ScaleDetails:DCC Type: 8 Pin DCC ReadyLivery: BR Black L/CrestClass: FairburnEra: 5 (1957 - 1966)Purpose: FreightWheel Configuration: 2-6-4Finish: Pristine
e4bbad5854ce01970f9e6b879407f72d,Alps Glacier Express (Add-On 4-Car Set) (Model Train),Kato,49.33,22,5.0 out of 5 stars, Trains,Suitable for the following scale(s): N Scale,"Technical Details Item Weight567 g Product Dimensions32 x 22.1 x 3.4 cm Manufacturer recommended age:8 years and up Item model number10-1146 Assembly RequiredNo Scale1::160 Track Width/GaugeNo ?? Additional Information ASINB009M019R2 Best Sellers Rank 103,345 in Toys & Games (See top 100) #49 in?Toys & Games > Model Trains & Railway Sets > Rail Vehicles > Wagons #141 in?Toys & Games > Model Trains & Railway Sets > Rail Vehicles > Trains Shipping Weight567 g Delivery Destinations:Visit the Delivery Destinations Help page to see where this item can be delivered. Date First Available15 Feb. 2013 ?? Feedback ?Would you like to update product info or give feedback on images?",Suitable for the following scale(s): N Scale
9cfcb02573dc2bb4f04d8660dec33e84,Hornby Gloucester City Pullman Train Set,Hornby,82.31,11,4.2 out of 5 stars, Trains,"Product Description Hornby R1177 ""00"" Scale Gloucester City Pullman Train Set Box Contains 1x Duke of gloucester train, 3 Cars, oval of track, wall plug transformer, power track, train controller and MidiMat","Technical Details Item Weight2.5 Kg Product Dimensions80 x 30 x 8 cm Manufacturer recommended age:6 years and up Item model numberR1177 Main Language(s)Italian manual, German manual, French manual, English manual, Spanish manual, Italian Number of Game Players1 Assembly RequiredYes Scale1:76 Engine Typeelectric Track Width/GaugeHO Batteries Required?No Batteries Included?No Remote Control Included?No Radio Control Suitabilityindoor ?? WEEE Directive Click here for information about recycling electrical and electronic products Additional Information ASINB00IJZIGFO Best Sellers Rank 6,119 in Toys & Games (See top 100) #4 in?Toys & Games > Model Trains & Railway Sets > Rail Vehicles > Trains Shipping Weight2.5 Kg Delivery Destinations:Visit the Delivery Destinations Help page to see where this item can be delivered. Date First Available2 Jan. 2014 ?? Feedback ?Would you like to update product info or give feedback on images?","Product Description Hornby R1177 ""00"" Scale Gloucester City Pullman Train Set Box Contains 1x Duke of gloucester train, 3 Cars, oval of track, wall plug transformer, power track, train controller and MidiMat"
79e16a6819d997b7053a808a79d341b8,Hornby R3086 RailRoad LNER 4-6-2 'Flying Scotsman' Class A3 00 Gauge Steam Locomotive,Hornby,69.99,11,4.8 out of 5 stars, Locomotives,"Product Description The LNER Class A3 Pacific locomotive No. 4472 Flying Scotsman (originally No. 1472) was built in 1923 for the London and North Eastern Railway (LNER) at Doncaster Works to a design of H.N. Gresley. It was employed on long-distance express trains on the LNER and its successors, British Railways Eastern and North-Eastern Regions, notably on the 10am London to Edinburgh Flying Scotsman service after which it was named. In its career 4472 Flying Scotsman has covered more than 2,000,000 miles (3,200,000 km).Young or old, keen modeller or just a beginner, the Hornby RailRoad range answers the needs of many and is a perfect complement to the variety of locomotives, rolling stock, track, buildings, and accessories that can be found in the current Hornby catalogue. Devoid of easily damaged detail parts the suitably livered RailRoad locomotives are fitted with efficient drive mechanisms and have pickups on all drive wheels ensuring smooth running. All the RailRoad models are fitted with the standard Hornby hook and bar type couplings and will therefore easily couple to those locomotives and rolling stock in both the standard Hornby and Thomas & Friends ranges. With this in mind it is easy to see that those models that make up the Hornby RailRoad range are a simple and cost effective way of adding to a train set providing a suitable and most appropriate stepping stone into the varied and fascinating World of model railways.The introductory range offers not only a selection of individual locomotives, rolling stock and accessories but an assortment of train and wagon packs ideally suited for either train set rolling stock enhancements or for those who wish to experiment and try their hands at developing their modelling techniques!This DCC Ready locomotive is compatible with analogue train layouts, but can easily be converted for use on a DCC (digital) layout. This loco is 'DCC Ready', meaning they feature a special socket ready to receive a DCC Decoder. To convert this locomotive for use on a DCC layout one of the following digital decoder chips are required; R8245 Sapphire Decoder or R8249 V1 3 NMRA Loco Decoder. Once this decoder is fitted it is ready to use on a DCC layout. Box Contains 1 x locomotive","Technical Details Item Weight599 g Product Dimensions40 x 10.6 x 6 cm Manufacturer recommended age:3 years and up Item model numberR3086 Scale1:76 Engine Typeelectric Track Width/GaugeOO Batteries Required?Yes Batteries Included?No ?? Additional Information ASINB006ZL6EC6 Best Sellers Rank 91,025 in Toys & Games (See top 100) #55 in?Toys & Games > Model Trains & Railway Sets > Rail Vehicles > Locomotives #2486 in?Toys & Games > Education & Science #9287 in?Toys & Games > Dressing Up > Costumes Shipping Weight599 g Delivery Destinations:Visit the Delivery Destinations Help page to see where this item can be delivered. Date First Available19 Jan. 2012 ?? Feedback ?Would you like to update product info or give feedback on images?","Product Description The LNER Class A3 Pacific locomotive No. 4472 Flying Scotsman (originally No. 1472) was built in 1923 for the London and North Eastern Railway (LNER) at Doncaster Works to a design of H.N. Gresley. It was employed on long-distance express trains on the LNER and its successors, British Railways Eastern and North-Eastern Regions, notably on the 10am London to Edinburgh Flying Scotsman service after which it was named. In its career 4472 Flying Scotsman has covered more than 2,000,000 miles (3,200,000 km).Young or old, keen modeller or just a beginner, the Hornby RailRoad range answers the needs of many and is a perfect complement to the variety of locomotives, rolling stock, track, buildings, and accessories that can be found in the current Hornby catalogue. Devoid of easily damaged detail parts the suitably livered RailRoad locomotives are fitted with efficient drive mechanisms and have pickups on all drive wheels ensuring smooth running. All the RailRoad models are fitted with the standard Hornby hook and bar type couplings and will therefore easily couple to those locomotives and rolling stock in both the standard Hornby and Thomas & Friends ranges. With this in mind it is easy to see that those models that make up the Hornby RailRoad range are a simple and cost effective way of adding to a train set providing a suitable and most appropriate stepping stone into the varied and fascinating World of model railways.The introductory range offers not only a selection of individual locomotives, rolling stock and accessories but an assortment of train and wagon packs ideally suited for either train set rolling stock enhancements or for those who wish to experiment and try their hands at developing their modelling techniques!This DCC Ready locomotive is compatible with analogue train layouts, but can easily be converted for use on a DCC (digital) layout. This loco is 'DCC Ready', meaning they feature a special socket ready to receive a DCC Decoder. To convert this locomotive for use on a DCC layout one of the following digital decoder chips are required; R8245 Sapphire Decoder or R8249 V1 3 NMRA Loco Decoder. Once this decoder is fitted it is ready to use on a DCC layout. Box Contains 1 x locomotive"
cc4c844b8b6c42c63a2c024229ef0b81,Ohigawa Railway SL [Kawane-ji] (4-Car Set) (Model Train),Kato,50.81,16,5.0 out of 5 stars, Trains,Japanese toys,"Technical Details Item Weight499 g Product Dimensions20.2 x 20.2 x 3.2 cm Manufacturer recommended age:12 years and up Item model number10-244 ?? Additional Information ASINB0084CUF0G Best Sellers Rank 182,399 in Toys & Games (See top 100) #281 in?Toys & Games > Model Trains & Railway Sets > Rail Vehicles > Trains Shipping Weight499 g Delivery Destinations:Visit the Delivery Destinations Help page to see where this item can be delivered. Date First Available3 Feb. 2013 ?? Feedback ?Would you like to update product info or give feedback on images?",Japanese toys
eaa7356d0552e564a405fc35ceee3bf1,Dapol Stanier 57ft Non Corridor Brake Coach - OO Gauge Plastic Kit,Dapol,14.99,2,5.0 out of 5 stars, Trains,"Dapol OO Gauge Stanier 57ft non corridor brake coach in BR Carmine Red Livery, unlined. Plastic model kit. Manufacturers Description: William Stanier (1876-1965) was headhunted from the GWR to become Chief Mechanical Engineer of London, Midland and Scottish (LMS) Railways in 1932. With the support of the Chairman, Sir Josiah Stamp, Stanier is credited with modernising the LMS fleet of generally small steam locomotives with a larger, modern and more powerful array of designs. Soon after his appointment, Stanier also focused on refurbishing and standardising the Coach stock of the LMS and developed the Period III LMS coaches which later became known as Stanier Coaches. These designs were extremely popular and successful and many were still in service in the mid 1960's. There are many examples of Period III coaches operating on Heritage Railways throughout the UK today. The Dapol OO Model of the Stanier Coach is derived from refurbished Airfix/Mainline tooling originally purchased by Dapol in the 1980's. There are some compromises on detail accuracy due to the condition and usability of the 40+ year old tooling. However, we feel the model captures the essence of the Period III coach design well and offers an extremely affordable way of building up a fleet of pre or post nationalised fleet of LMS coaches. Dapol have strived to ensure livery and colour details have been captured and are comparable to the originals, including the roof level gold lines. The Kit comes complete with decorated body, all that is required is painting of the roof and other components and assembly. PLEASE NOTE THAT THIS ITEM IS NOT A TOY AND IS INTENDED FOR MODEL RAILWAY ENTHUSIASTS.","Technical Details Item Weight141 g Product Dimensions24.8 x 13.6 x 5.4 cm Manufacturer recommended age:10 years and up Item model numberC96C Assembly RequiredYes Scale1:76 Track Width/GaugeOO ?? Additional Information ASINB00B1W8Z7Q Best Sellers Rank 198,742 in Toys & Games (See top 100) #130 in?Toys & Games > Model Trains & Railway Sets > Rail Vehicles > Wagons #320 in?Toys & Games > Model Trains & Railway Sets > Rail Vehicles > Trains Shipping Weight141 g Delivery Destinations:Visit the Delivery Destinations Help page to see where this item can be delivered. Date First Available16 Jan. 2013 ?? Feedback ?Would you like to update product info or give feedback on images?","Dapol OO Gauge Stanier 57ft non corridor brake coach in BR Carmine Red Livery, unlined. Plastic model kit. Manufacturers Description: William Stanier (1876-1965) was headhunted from the GWR to become Chief Mechanical Engineer of London, Midland and Scottish (LMS) Railways in 1932. With the support of the Chairman, Sir Josiah Stamp, Stanier is credited with modernising the LMS fleet of generally small steam locomotives with a larger, modern and more powerful array of designs. Soon after his appointment, Stanier also focused on refurbishing and standardising the Coach stock of the LMS and developed the Period III LMS coaches which later became known as Stanier Coaches. These designs were extremely popular and successful and many were still in service in the mid 1960's. There are many examples of Period III coaches operating on Heritage Railways throughout the UK today. The Dapol OO Model of the Stanier Coach is derived from refurbished Airfix/Mainline tooling originally purchased by Dapol in the 1980's. There are some compromises on detail accuracy due to the condition and usability of the 40+ year old tooling. However, we feel the model captures the essence of the Period III coach design well and offers an extremely affordable way of building up a fleet of pre or post nationalised fleet of LMS coaches. Dapol have strived to ensure livery and colour details have been captured and are comparable to the originals, including the roof level gold lines. The Kit comes complete with decorated body, all that is required is painting of the roof and other components and assembly. PLEASE NOTE THAT THIS ITEM IS NOT A TOY AND IS INTENDED FOR MODEL RAILWAY ENTHUSIASTS."
